City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
lebu,75,ET,1554325200,72,8.96,38.73,59.0,2.24
victoria,75,BN,1554325200,94,5.28,115.24,77.0,2.82
vryburg,68,ZA,1554327251,87,-26.96,24.73,62.64,4.61
omboue,32,GA,1554327253,99,-1.57,9.26,84.33,7.18
ust-nera,0,RU,1554327254,50,64.57,143.24,-5.77,2.04
sitka,80,US,1554327088,48,37.17,-99.65,66.99,18.99
doha,0,QA,1554325200,69,25.29,51.53,75.2,4.7
leningradskiy,20,RU,1554327258,93,69.38,178.42,7.2,17.02
vestmannaeyjar,92,IS,1554327259,86,63.44,-20.27,41.22,25.19
tupelo,1,US,1554327029,38,34.26,-88.7,73.99,8.05
thinadhoo,92,MV,1554327262,100,0.53,72.93,83.25,3.49
suining,68,CN,1554327263,90,30.51,105.57,53.1,6.51
dong xoai,76,VN,1554327264,96,11.53,106.92,73.8,2.71
caconda,92,AO,1554327265,34,-13.73,15.06,74.43,2.37
chapais,90,CA,1554325440,92,49.78,-74.86,30.2,21.92
palana,44,RU,1554327268,69,59.08,159.95,34.47,10.54
fonte boa,12,BR,1554327269,83,-2.51,-66.09,84.33,4.05
yuanping,8,CN,1554327271,65,38.72,112.71,28.98,3.38
port alfred,12,ZA,1554327113,90,-33.59,26.89,64.99,5.01
ofaqim,92,IL,1554327190,22,31.31,34.62,57.99,5.61
carutapera,92,BR,1554327275,100,-1.2,-46.02,75.33,4.72
dunmore east,92,IE,1554327148,86,52.15,-6.99,42.01,11.99
juneau,90,US,1554324960,61,58.3,-134.42,48.2,8.05
kuzedeyevo,76,RU,1554327279,71,53.33,87.2,30.42,4.5
canico,40,PT,1554327185,67,32.63,-16.85,60.8,16.11
alghero,0,IT,1554327245,93,40.56,8.32,51.8,3.36
takoradi,12,GH,1554327283,97,4.89,-1.75,83.16,9.42
komsomolskiy,92,RU,1554327286,89,67.55,63.78,24.48,3.27
trinidad,20,UY,1554325200,61,-33.52,-56.9,77.0,4.7
avera,1,US,1554327186,26,33.19,-82.53,73.0,5.82
bontang,32,ID,1554327290,100,0.12,117.47,78.12,4.61
roebourne,0,AU,1554327291,65,-20.77,117.15,74.25,10.76
anadyr,0,RU,1554326547,78,64.73,177.51,17.6,8.75
poum,80,MK,1554327294,96,41.28,20.71,40.95,1.36
bathsheba,40,BB,1554325200,61,13.22,-59.52,82.4,20.8
eyl,8,SO,1554327298,100,7.98,49.82,77.4,3.38
nome,90,US,1554327242,52,30.04,-94.42,71.01,11.41
weinan,0,CN,1554325200,57,34.5,109.46,50.0,3.71
yar-sale,0,RU,1554327302,64,66.83,70.83,11.16,5.28
sinnamary,92,GF,1554327303,93,5.38,-52.96,80.64,12.88
nalgonda,32,IN,1554327304,78,17.05,79.27,74.16,5.73
ostrovnoy,24,RU,1554327306,87,68.05,39.51,27.63,13.56
vila velha,75,BR,1554326887,78,-3.71,-38.6,81.0,5.82
carnarvon,0,ZA,1554327308,29,-30.97,22.13,60.12,9.19
emerald,0,AU,1554327289,88,-23.53,148.16,68.0,10.29
mar del plata,24,AR,1554327022,39,-46.43,-67.52,66.15,16.8
serebryansk,76,KZ,1554327312,81,49.68,83.3,39.24,2.04
noumea,68,NC,1554326806,83,-22.28,166.46,75.2,3.36
severo-kurilsk,88,RU,1554327315,97,50.68,156.12,33.03,6.85
dunedin,56,NZ,1554327034,83,-45.87,170.5,55.0,3.6
bambous virieux,75,MU,1554327244,94,-20.34,57.76,77.0,3.36
aykhal,0,RU,1554327319,70,65.95,111.51,16.65,4.61
tuatapere,92,NZ,1554327009,88,-46.13,167.69,52.0,14.56
berlevag,75,NO,1554324600,100,70.86,29.09,32.0,16.11
yeppoon,20,AU,1554325200,73,-23.13,150.74,69.8,9.17
kodiak,20,US,1554327217,45,39.95,-94.76,64.4,14.99
lang suan,32,TH,1554327325,99,9.95,99.07,77.85,2.15
klaksvik,92,FO,1554324600,74,62.23,-6.59,37.4,4.7
san patricio,68,PY,1554327328,88,-26.98,-56.83,77.85,2.48
zhuanghe,0,CN,1554327033,88,39.7,122.97,50.0,3.0
half moon bay,90,US,1554327329,82,37.46,-122.43,64.0,6.93
chokurdakh,0,RU,1554327332,55,70.62,147.9,-0.64,2.93
bridgetown,90,CA,1554327190,93,44.84,-65.29,41.0,16.11
hervey bay,90,AU,1554327036,88,-25.3,152.85,73.99,9.17
barmer,36,IN,1554327336,37,25.74,71.4,76.32,3.71
zahesi,0,GE,1554325200,61,41.83,44.76,48.2,12.75
kavaratti,64,IN,1554327339,100,10.57,72.64,84.06,2.59
gazanjyk,0,TM,1554327340,87,39.24,55.52,46.62,3.83
cayenne,75,GF,1554325200,69,4.94,-52.33,82.4,10.29
iqaluit,75,CA,1554326522,71,63.75,-68.52,8.6,3.36
wlodawa,24,PL,1554325200,39,51.55,23.55,44.6,11.18
ust-kulom,12,RU,1554327345,86,61.69,53.69,27.18,6.06
giyani,92,ZA,1554327347,98,-23.32,30.73,67.14,3.94
kiama,90,AU,1554327125,100,-34.67,150.86,70.0,10.29
sovetskiy,0,RU,1554327349,82,56.76,48.47,25.65,11.32
hornepayne,64,CA,1554327351,44,49.22,-84.78,24.93,11.99
vardo,1,US,1554327292,20,39.62,-77.74,66.2,17.22
kavieng,100,PG,1554327353,100,-2.57,150.8,80.1,7.18
namatanai,80,PG,1554327354,100,-3.66,152.44,82.08,6.17
dikson,76,RU,1554327356,100,73.51,80.55,23.58,16.02
chuy,0,UY,1554327357,84,-33.69,-53.46,68.4,9.64
touros,75,BR,1554321600,88,-5.2,-35.46,80.6,4.7
yaan,0,NG,1554327360,45,7.38,8.57,88.02,8.75
comodoro rivadavia,0,AR,1554325200,26,-45.87,-67.48,69.8,18.34
saint-augustin,32,FR,1554327202,86,44.83,-0.61,44.6,6.93
hualmay,36,PE,1554327364,76,-11.1,-77.61,74.7,5.39
campbell river,90,CA,1554327040,93,50.02,-125.24,51.8,4.7
dudinka,68,RU,1554327367,92,69.41,86.18,18.72,8.19
balabac,80,PH,1554327369,100,7.99,117.06,81.72,8.41
muroto,20,JP,1554325800,100,33.37,134.14,39.2,9.17
prince george,1,CA,1554327138,34,53.92,-122.75,54.0,13.87
armidale,80,AU,1554327069,88,-30.51,151.67,53.01,4.0
harper,90,US,1554327321,88,30.3,-99.24,66.99,5.82
raeren,0,BE,1554327362,80,50.68,6.11,46.0,9.17
tutoia,40,BR,1554325200,65,-2.76,-42.27,82.4,9.17
khorixas,8,NA,1554327378,52,-20.37,14.96,73.08,3.15
champerico,20,MX,1554324660,28,16.38,-93.6,95.0,2.24
faanui,12,PF,1554327380,100,-16.48,-151.75,84.33,9.98
thompson,75,CA,1554325200,37,55.74,-97.86,19.4,5.82
chupa,75,PE,1554325200,66,-15.11,-69.99,53.6,14.99
riyadh,0,SA,1554325200,31,24.63,46.72,77.0,3.36
forio,75,IT,1554327365,93,40.73,13.86,55.99,3.36
adrar,40,DZ,1554325200,26,27.87,-0.29,78.8,20.8
prainha,44,BR,1554327388,80,-1.8,-53.48,81.81,5.95
ballina,92,IE,1554327184,91,54.11,-9.15,43.0,13.0
belaya gora,8,RU,1554327391,52,68.54,146.19,0.63,2.15
hambantota,5,LK,1554325800,100,6.12,81.12,75.2,3.6
moose factory,90,CA,1554325200,73,51.26,-80.61,21.2,14.99
boa vista,40,BR,1554325200,34,2.82,-60.67,95.0,11.41
yarumal,36,CO,1554327397,97,6.96,-75.42,68.85,1.92
husavik,24,CA,1554327326,44,50.56,-96.99,33.01,4.0
sault sainte marie,75,CA,1554325200,49,46.49,-84.36,33.8,19.46
valera,24,VE,1554327401,72,9.31,-70.61,85.05,4.94
havoysund,75,NO,1554324600,86,71.0,24.66,30.2,8.05
clyde river,75,CA,1554325200,66,70.47,-68.59,12.2,6.93
geraldton,75,CA,1554325200,41,49.72,-86.95,24.8,10.29
bisira,0,PA,1554327406,48,8.52,-81.71,83.25,6.17
nouadhibou,20,MR,1554325200,77,20.93,-17.03,66.2,9.17
buraydah,0,SA,1554325200,34,26.33,43.97,64.4,4.7
zhigansk,88,RU,1554327411,84,66.77,123.37,25.2,5.61
muros,40,ES,1554327401,93,42.77,-9.06,50.0,4.7
the valley,40,AI,1554327103,65,18.22,-63.06,80.6,14.99
brownwood,90,US,1554327391,64,31.71,-98.99,71.6,18.34
port hawkesbury,90,CA,1554327354,100,45.62,-61.36,42.01,28.86
teguise,20,ES,1554325200,72,29.06,-13.56,66.2,4.7
pangnirtung,20,CA,1554325200,77,66.15,-65.72,5.0,4.7
flinders,90,AU,1554327096,100,-34.58,150.85,64.0,10.29
codrington,40,AU,1554327264,93,-28.95,153.24,66.2,5.17
jumla,0,NP,1554327422,92,29.28,82.18,27.18,2.26
visavadar,20,IN,1554327424,59,21.34,70.75,75.24,5.06
westport,92,IE,1554327123,85,53.8,-9.52,43.0,32.01
tura,0,IN,1554327427,90,25.52,90.21,64.8,5.61
sabha,8,LY,1554327428,50,27.03,14.43,65.43,7.96
tessalit,8,ML,1554327429,26,20.2,1.01,77.76,7.07
ulagan,20,RU,1554327431,76,50.63,87.96,18.54,2.71
aksarka,44,RU,1554327432,62,66.56,67.8,11.88,2.82
marion,1,US,1554327430,27,35.21,-90.2,75.0,17.22
mecca,0,SA,1554327329,57,21.43,39.83,54.27,2.82
duiwelskloof,92,ZA,1554327437,97,-23.69,30.14,64.35,3.6
vanimo,36,PG,1554327438,99,-2.67,141.3,82.98,15.01
george,20,NG,1554325200,89,6.63,3.35,84.2,4.7
lavrentiya,20,RU,1554327441,95,65.58,-170.99,21.42,16.58
hegang,0,CN,1554327443,80,47.34,130.28,22.5,4.94
huicheng,75,CN,1554325200,100,23.03,116.29,64.4,4.47
tangshan,0,CN,1554327445,57,39.63,118.17,45.81,9.98
hobyo,24,SO,1554327447,83,5.35,48.53,81.0,7.4
lompoc,75,US,1554327345,72,34.64,-120.46,66.99,9.17
nuuk,75,GL,1554326521,73,64.17,-51.74,24.8,13.87
lata,0,IN,1554327451,78,30.78,78.62,48.24,2.37
atambua,88,ID,1554327452,100,-9.11,124.89,77.13,2.59
college,20,US,1554327433,35,64.86,-147.8,32.0,16.11
kolyvan,0,RU,1554325200,47,55.31,82.74,35.6,4.47
conselheiro pena,88,BR,1554327456,84,-19.17,-41.47,75.6,2.71
taltal,8,CL,1554327457,76,-25.41,-70.49,63.72,3.04
kollam,20,IN,1554325200,79,8.88,76.6,84.2,5.82
kichera,76,RU,1554327460,70,55.93,110.1,18.81,3.83
kurilsk,48,RU,1554327461,96,45.23,147.88,28.35,19.71
north myrtle beach,1,US,1554327190,51,33.83,-78.68,69.01,11.41
souillac,8,FR,1554327382,93,45.6,-0.6,44.01,4.7
kenora,40,CA,1554326523,36,49.76,-94.48,30.2,12.75
taoudenni,92,ML,1554327466,29,22.68,-3.98,85.59,4.83
aklavik,75,CA,1554325920,60,68.22,-135.01,8.6,11.41
vilcun,90,CL,1554325200,93,-38.65,-72.23,57.2,5.82
torbay,90,CA,1554327116,88,47.66,-52.73,33.01,17.22
krian,40,ID,1554325200,100,-7.41,112.58,78.8,4.7
awash,48,ET,1554327473,91,8.99,40.17,63.27,2.82
ancud,90,CL,1554325200,100,-41.87,-73.83,50.0,11.41
birao,0,CF,1554327476,21,10.3,22.78,77.31,9.64
kombissiri,0,BF,1554325200,25,12.07,-1.34,96.8,3.36
grindavik,90,IS,1554327416,93,63.84,-22.43,42.01,25.28
pisco,0,PE,1554325200,30,-13.71,-76.2,71.6,20.8
rawlins,90,US,1554324900,87,41.79,-107.24,44.6,14.99
lahij,44,YE,1554327482,94,13.06,44.88,70.92,2.26
mandalgovi,0,MN,1554327484,65,45.76,106.27,34.47,10.98
kolokani,12,ML,1554327485,45,13.58,-8.03,85.77,4.61
konce,48,MK,1554327360,76,41.5,22.39,50.0,3.27
turka,56,UA,1554326835,40,49.16,23.03,43.0,4.61
bilma,0,NE,1554327489,22,18.69,12.92,74.16,5.39
saint paul,1,US,1554327489,25,44.95,-93.1,51.01,10.29
wawa,20,NG,1554327492,67,9.9,4.41,84.87,2.71
kaitangata,56,NZ,1554327373,78,-46.28,169.85,52.0,5.99
marsh harbour,64,BS,1554327495,100,26.54,-77.06,74.61,17.25
mongo,0,CF,1554327497,49,4.83,22.92,84.6,5.39
san carlos de bariloche,75,AR,1554325200,87,-41.13,-71.31,46.4,16.11
olinda,75,EC,1554327351,70,-2.03,-79.75,86.0,4.7
ketchikan,1,US,1554324780,58,55.34,-131.65,53.6,4.7
alofi,75,NU,1554325200,78,-19.06,-169.92,80.6,11.41
bereda,40,ES,1554327240,75,43.27,-7.54,50.0,4.7
buala,80,SB,1554327506,100,-8.15,159.59,79.74,6.17
atikokan,56,CA,1554327508,45,48.76,-91.62,29.61,9.64
erzin,40,TR,1554327412,93,36.95,36.2,57.2,4.7
palmer,0,AU,1554327481,28,-34.85,139.16,72.0,10.29
xining,80,CN,1554327512,90,36.62,101.77,31.68,2.26
elizabeth city,1,US,1554327493,37,36.3,-76.22,70.0,17.22
saint-joseph,92,FR,1554327484,100,43.56,6.97,53.01,8.05
arlit,0,NE,1554327516,26,18.74,7.39,78.3,3.15
askino,92,RU,1554327517,88,56.09,56.58,32.94,15.68
guerrero negro,0,MX,1554327518,53,27.97,-114.04,70.2,11.65
palamos,75,ES,1554327307,100,41.85,3.13,48.0,10.29
pauini,8,BR,1554327521,85,-7.71,-67.0,82.62,3.27
kaili,64,ID,1554327522,91,-3.46,120.21,69.75,2.15
piracuruca,92,BR,1554327524,97,-3.93,-41.72,75.15,3.04
gondanglegi,32,ID,1554327525,92,-7.75,112.01,69.3,3.27
gushikawa,90,JP,1554325560,82,26.35,127.87,64.4,4.7
izhma,20,RU,1554327528,89,65.01,53.91,32.85,6.17
okhotsk,8,RU,1554327529,89,59.36,143.24,22.68,5.17
udachnyy,0,RU,1554327530,78,66.42,112.4,21.42,4.72
chegdomyn,8,RU,1554327532,76,51.13,133.04,11.34,2.71
namibe,36,AO,1554327533,100,-15.19,12.15,79.47,8.86
bethanien,0,NA,1554327535,22,-26.5,17.16,69.03,5.84
skibbereen,75,IE,1554325200,85,51.55,-9.27,41.0,25.28
coquimbo,0,CL,1554325200,63,-29.95,-71.34,66.2,12.75
kosum phisai,48,TH,1554325200,94,16.25,103.07,73.4,2.24
byron bay,40,AU,1554327264,93,-28.65,153.62,73.0,13.11
idlib,40,SY,1554324600,93,35.93,36.64,57.2,4.7
saldanha,0,PT,1554327542,56,41.42,-6.55,41.49,8.63
faya,0,SA,1554325200,82,18.39,42.45,60.8,10.29
rawson,92,AR,1554327545,27,-43.3,-65.11,69.75,14.79
navrongo,32,GH,1554327546,40,10.89,-1.09,92.34,10.98
quelimane,0,MZ,1554325200,83,-17.88,36.89,77.0,3.36
maniitsoq,76,GL,1554327549,86,65.42,-52.9,21.33,11.1
fukue,0,JP,1554327536,74,35.03,136.69,44.01,8.05
kahului,40,US,1554327275,54,20.89,-156.47,82.4,19.46
nkowakowa,0,ZA,1554325200,82,-23.89,30.29,60.8,12.75
clinton,20,US,1554327530,43,30.87,-91.02,75.2,11.41
concordia,75,AR,1554327413,112,-31.4,-58.02,87.8,10.29
capao da canoa,36,BR,1554327363,100,-29.75,-50.01,74.52,10.42
dawei,0,MM,1554327558,93,14.07,98.19,74.97,2.26
vestmanna,56,FO,1554324600,74,62.16,-7.17,37.4,4.7
uruzgan,36,AF,1554327561,81,32.93,66.63,35.01,0.69
podkletnoye,76,RU,1554327563,66,54.66,31.74,36.54,4.61
conceicao da barra,8,BR,1554327458,89,-18.59,-39.73,80.19,7.74
biltine,0,TD,1554327565,23,14.53,20.93,75.24,9.31
inuvik,75,CA,1554325920,60,68.36,-133.71,8.6,11.41
esperance,40,TT,1554327307,65,10.24,-61.45,82.4,16.11
lodja,0,CD,1554327569,90,-3.52,23.6,76.05,3.04
maine-soroa,0,NE,1554327572,20,13.21,12.02,79.2,8.19
lufilufi,8,WS,1554326543,83,-13.87,-171.6,82.0,4.0
fare,20,PF,1554327574,98,-16.7,-151.02,84.69,9.64
gold coast,92,AU,1554327458,72,-28.0,153.41,71.01,9.17
kastornoye,56,RU,1554327577,65,51.83,38.13,34.83,9.98
saint george,75,GR,1554324600,75,39.45,22.34,46.4,5.82
nikolskoye,0,RU,1554327336,34,59.7,30.79,37.99,6.71
tsukumi,0,JP,1554327403,75,33.08,131.85,28.99,8.97
barrhead,40,CA,1554325200,49,54.12,-114.4,46.4,8.05
sao joao da barra,0,BR,1554325200,78,-21.64,-41.05,77.0,9.17
praya,40,ID,1554325200,100,-8.71,116.27,75.2,5.17
labuhan,32,ID,1554327586,95,-2.54,115.51,70.92,0.69
sabang,56,PH,1554327587,93,13.72,123.58,76.77,6.73
benguela,32,AO,1554327589,100,-12.58,13.4,80.55,8.19
porto novo,0,BR,1554325200,57,-23.68,-45.44,78.8,4.7
sorbhog,0,IN,1554327591,82,26.5,90.87,62.73,7.07
mujiayingzi,8,CN,1554327593,38,42.12,118.78,45.72,12.66
narsaq,20,GL,1554324600,58,60.91,-46.05,28.4,13.87
kermanshah,90,IR,1554325200,87,34.32,47.07,44.6,9.17
huarmey,36,PE,1554327597,67,-10.07,-78.15,76.5,4.05
sterling,1,US,1554327303,24,39.0,-77.4,69.8,23.04
pyay,0,MM,1554327599,80,18.82,95.22,71.73,2.59
herat,64,AF,1554327600,90,34.35,62.22,52.47,3.71
civitavecchia,40,IT,1554327600,82,42.09,11.79,57.0,18.34
samana,75,EC,1554325200,83,0.12,-76.97,82.4,4.7
itaueira,36,BR,1554327604,64,-7.6,-43.03,83.34,8.75
tabuk,76,PH,1554327606,97,17.41,121.44,65.25,1.36
petropavlovsk-kamchatskiy,92,RU,1554325200,60,53.05,158.65,39.2,6.71
mao,40,DO,1554327608,66,19.55,-71.08,84.2,6.93
pangkalanbuun,8,ID,1554327610,94,-2.68,111.62,71.37,2.59
brae,56,GB,1554326400,87,60.4,-1.35,44.6,13.87
lagoa,0,PT,1554327545,50,37.14,-8.45,57.2,12.75
myitkyina,0,MM,1554327614,95,25.38,97.4,59.67,3.27
isangel,75,VU,1554325200,78,-19.55,169.27,82.4,11.88
itarema,92,BR,1554327616,92,-2.92,-39.92,78.93,6.17
marquette,20,US,1554327481,31,46.54,-87.4,37.0,14.99
santa maria,12,BR,1554327620,65,-29.69,-53.81,80.64,2.59
razole,0,IN,1554327621,100,16.48,81.84,82.26,10.42
pangody,12,RU,1554327623,75,65.85,74.49,15.12,9.42
bundaberg,90,AU,1554327602,88,-24.87,152.35,75.0,9.17
oussouye,0,SN,1554325200,73,12.49,-16.54,78.8,9.17
pacific grove,75,US,1554327469,71,36.62,-121.92,63.0,10.29
sur,0,OM,1554327605,79,22.57,59.53,80.55,5.17
